site,dist,slope,height,period
Abric de la Masia-1,8488,18.94,449,LBA
Abric Sota Penya III,9781,53.51,402,LBA
Abric vernet-oliveres,1142,30.35,426,LBA
Abric vernet-oliveres,1142,30.35,426,LBA
Abric vernet-oliveres,1142,30.35,426,LBA
Bòbila Madurell,5855,1.33,169,LBA
Bòbila Molist,1246,3.18,117,LBA
Bòbila Roca,11496,3.45,31,LBA
Bòbila Roca,2299,2.74,43,LBA
Ca l'Estrada,7386,1.05,62,LBA
Ca l'Oliveró I,268,7.84,285,LBA
CAan Figueres,817,4.03,257,LBA
Can Bertran,1991,10.95,122,LBA
Can Camps- Ca n'alzina- Can Bordoll,4889,2.21,156,LBA
Can Caselles,396,1.39,241,LBA
Can Cortés,8569,9.23,132,LBA
Can Gafa I,378,2.11,180,LBA
Can Gambús 1,7085,1.61,208,LBA
Can Gambús 1,7085,1.61,208,LBA
Can Gambús 2,7504,13.68,196,LBA
Can Gambús 3,7299,1.08,210,LBA
Can Gambús 3,7299,1.08,210,LBA
Can Grau Gros,1737,6.79,247,LBA
Can Missert,6827,6.96,290,LBA
Can Montlló,8319,2.56,231,LBA
Can Mora,3849,8.57,167,LBA
Can Rodes,1197,7.87,198,LBA
Can Roqueta II est,5618,1.88,179,LBA
Can Roqueta-Can Revella,4574,2.92,151,LBA
Can Roqueta-Torre Romeu,6511,1.15,184,LBA
Can Roqueta-Torre Romeu,6511,1.15,184,LBA
Can Roqueta-Torre Romeu,6511,1.15,184,LBA
Can Roqueta-Torre Romeu,6511,1.15,184,LBA
Can Soldevila,1860,18.98,71,LBA
Can Teixidor,7928,11.13,65,LBA
Carrer de Ca n'Alzina (125-143 sector DIASA),5162,1.16,162,LBA
Carrer de Can Alzina Solar,5175,1.94,165,LBA
Carrer de Francesc Layret,8221,0.81,206,LBA
Carrer Santa Digna 33_35_37_39_41,1388,5.6,249,LBA
Carretera de Ripollet a Santiga,1722,8.5,96,LBA
Caserna de Sant Pau,12095,0.73,7,LBA
Cau de la Serra Polseruda,7113,24.81,390,LBA
Coll de san sous,2459,6.53,471,LBA
Confluència de la ribera de Calella amb el Torrent del Raig,10710,1.81,13,LBA
Cova Bonica,8452,29.32,404,LBA
Cova Cassimanya,15908,39.67,513,LBA
Cova de Can Montmany,2103,40.46,193,LBA
Cova de Can Paloma,152,23.9,145,LBA
Cova de Can Sadurní,11586,11.3,394,LBA
Cova de Gavà,16938,9,328,LBA
Cova de l'Or,6290,32.98,390,LBA
Cova de la Boira,2318,30.52,610,LBA
Cova de la Guineu,4965,4.07,727,LBA
Cova de la Masia,8450,24.33,481,LBA
Cova de la Plana Pineda,5224,23.83,756,LBA
Cova de les Agulles,3838,26.15,473,LBA
Cova de les Monedes,2216,32.28,622,LBA
Cova del Garrofet,7736,34.73,786,LBA
Cova del Genís,3309,21.19,217,LBA
Cova del Pidomont,5035,14.98,153,LBA
Cova del Tronc,2307,26.15,607,LBA
Cova dels Dos,5240,32.6,219,LBA
Cova Freda,7356,29.13,694,LBA
Cova Freda,2326,62.59,475,LBA
Cova Negra,13269,54.8,654,LBA
Cova Perduda,17755,26.54,136,LBA
Coves de Can Soler de Secabecs,5014,34.6,607,LBA
Coves del Salnitre,2248,32.42,352,LBA
La Ferrussa,3398,4.12,85,LBA
La pedra serrada,1316,4.47,106,LBA
La Tallada,228,15.49,251,LBA
Les Pruelles,14228,2.64,53,LBA
Montbarbat,2337,10.98,327,LBA
Necròpolis de Can Piteu Can Roqueta,5066,2.12,162,LBA
Olèrdola,4445,11.95,319,LBA
Puig Pedrós,2471,30.21,330,LBA
Roca Vermella,962,19.69,756,LBA
Sant Esteve del Coll,915,3.6,287,LBA
Santa Digna III,1323,1.99,250,LBA
Sepulcre megalític de Mas Pla,8593,3.07,618,LBA
Serra de Can Borgonyó,8247,0.55,206,LBA
Serra de la Salut,5958,1.37,172,LBA
Timba d'en Humbert,3062,1.74,77,LBA
Torreblanca,2201,1.41,91,LBA
Turó de Can Pa i Aigua,2927,6.1,255,LBA
Bòbila Madurell,5855,1.33,169,EIA
Bòbila Majem,147,2.72,223,EIA
Bòbila Roca,2299,2.74,43,EIA
Bosc Moi,345,1.98,213,EIA
Buxó prehistòric,7756,19.99,144,EIA
Can Butinyà,4294,8.91,118,EIA
Can Gambús 1,7085,1.61,208,EIA
Can Gambús 2,7504,13.68,196,EIA
Can Gambús 2,7504,13.68,196,EIA
Can Gambús 3,7299,1.08,210,EIA
Can Gambús 3,7299,1.08,210,EIA
Can Roqueta,5769,0.93,176,EIA
Can Roqueta,5769,0.93,176,EIA
Can Roqueta,5769,0.93,176,EIA
Can Roqueta II est,5618,1.88,179,EIA
Can Roqueta-Can Revella,4574,2.92,151,EIA
Can Roqueta-Torre Romeu,6511,1.15,184,EIA
Can Roqueta-Torre Romeu,6511,1.15,184,EIA
Can Viola,3857,2.99,138,EIA
Can Viola,3857,2.99,138,EIA
Castell de Port / Parc del Migdia / Montjuïc,12575,2.14,86,EIA
Cova del Frare,12558,52.26,935,EIA
El Coll (URBANITZACIÓ SANT JOSEP)/TOMBA DEL GUERRER,779,14.6,199,EIA
El Pitu de Can Barba,12682,0.96,303,EIA
Els Cirerers,107,0.31,224,EIA
Els jardins de Castellarnau/Terrenys de l'Institut Sabadell-Terrassa-Carrer 0,9105,2.83,232,EIA
Els Pujols,8335,6.27,326,EIA
Escola Cristòfor Mestre,489,7,207,EIA
Estació de bombament de la depuradora de Sabadell-Riu Ripoll,4917,1.24,158,EIA
Hort d'en Grimau,1451,2.84,189,EIA
La Florida Nord-Can Soldevila,1512,3.24,79,EIA
La Foradada,335,0.81,126,EIA
La Girada,549,2.05,210,EIA
La Múnia,2672,6.24,234,EIA
Les Toixoneres,4402,4.99,11,EIA
Mas Castellar-1,1209,5.45,182,EIA
Mas d'en Boixos,1986,1.21,224,EIA
Molí de Sant Andreu (Rec Comtal),5180,3.23,24,EIA
Montbarbat,2337,10.98,327,EIA
Necròpolis paleoibèrica Granja Soley,4245,4.86,96,EIA
Necròpolis de Can Piteu Can Roqueta,5066,2.12,162,EIA
Olèrdola,4445,11.95,319,EIA
Oppidum Burriac,7265,23.36,258,EIA
Parc dels Pinetons,2043,7.94,107,EIA
Penya del Moro,7981,22.83,260,EIA
Pla de la Bruguera-Magatzem Sony,11760,0.53,271,EIA
Pla del Serrador/Rodna Nord de Granollers,1405,0.85,212,EIA
Pla del Serrador/Rodna Nord de Granollers,1405,0.85,212,EIA
Plaça Major (sectors 1 i 2),12017,2.96,329,EIA
Poblat ibèric de Castellruf,3406,22.85,435,EIA
Pou Nou-2,1217,0.68,240,EIA
Puig Castellar,5325,12.39,184,EIA
Pujolet de Moja,880,5.72,199,EIA
Sant Genís dels Agudells,5485,25.43,303,EIA
Sant Pau Inferior,1760,7.99,238,EIA
Santa Digna,722,1.4,206,EIA
Serra de la Font del Cuscó-1,3897,10.71,386,EIA
Serra del Tall-2,7038,13.99,681,EIA
Sitges de U.A.B.,1763,5.45,139,EIA
Sitja del carrer Anníbal / Montjuïc,12337,4.36,29,EIA
Solicrup,10782,1.43,21,EIA
Timbes de Santa Bàrbara,1977,2.62,149,EIA
Turó de Cèllecs,2509,8.41,532,EIA
Turó de la Font de la Canya,2301,2.81,231,EIA
Turó de la Font del Roure,6060,1.48,362,EIA
Turó de la Rovira_Refugi,7677,8.26,236,EIA
UAB Facultat de Lletres,2061,2.62,136,EIA
Variant Tram Oest,733,3.2,187,EIA
